Entity,Code,Year,Which countries include the inactivated polio vaccine (IPV) in their national vaccination programs?
Antigua and Barbuda,ATG,1976,Not routinely administered
Antigua and Barbuda,ATG,1977,Not routinely administered
Antigua and Barbuda,ATG,1978,Not routinely administered
Antigua and Barbuda,ATG,1979,Not routinely administered
Antigua and Barbuda,ATG,1980,Not routinely administered
Antigua and Barbuda,ATG,1981,Not routinely administered
Antigua and Barbuda,ATG,1982,Not routinely administered
Antigua and Barbuda,ATG,1983,Not routinely administered
Antigua and Barbuda,ATG,1984,Not routinely administered
Antigua and Barbuda,ATG,1985,Not routinely administered
Antigua and Barbuda,ATG,1986,Not routinely administered
Antigua and Barbuda,ATG,1987,Not routinely administered
Antigua and Barbuda,ATG,1988,Not routinely administered
Antigua and Barbuda,ATG,1989,Not routinely administered
Antigua and Barbuda,ATG,1990,Not routinely administered
Antigua and Barbuda,ATG,1991,Not routinely administered
Antigua and Barbuda,ATG,1992,Not routinely administered
Antigua and Barbuda,ATG,1993,Not routinely administered
Antigua and Barbuda,ATG,1994,Not routinely administered
Antigua and Barbuda,ATG,1995,Not routinely administered
Antigua and Barbuda,ATG,1996,Not routinely administered
Antigua and Barbuda,ATG,1997,Not routinely administered
Antigua and Barbuda,ATG,1998,Not routinely administered
Antigua and Barbuda,ATG,1999,Not routinely administered
Antigua and Barbuda,ATG,2000,Not routinely administered
Antigua and Barbuda,ATG,2001,Not routinely administered
Antigua and Barbuda,ATG,2002,Not routinely administered
Antigua and Barbuda,ATG,2003,Not routinely administered
Antigua and Barbuda,ATG,2004,Not routinely administered
Antigua and Barbuda,ATG,2005,Not routinely administered
Antigua and Barbuda,ATG,2006,Not routinely administered
Antigua and Barbuda,ATG,2007,Not routinely administered
Antigua and Barbuda,ATG,2008,Not routinely administered
Antigua and Barbuda,ATG,2009,Not routinely administered
Antigua and Barbuda,ATG,2010,Not routinely administered
Antigua and Barbuda,ATG,2011,Not routinely administered
Antigua and Barbuda,ATG,2012,Not routinely administered
Antigua and Barbuda,ATG,2013,Not routinely administered
Antigua and Barbuda,ATG,2014,Not routinely administered
Antigua and Barbuda,ATG,2015,Entire country
Antigua and Barbuda,ATG,2016,Entire country
Antigua and Barbuda,ATG,2017,Entire country
Antigua and Barbuda,ATG,2018,Entire country
Antigua and Barbuda,ATG,2019,Entire country
Antigua and Barbuda,ATG,2020,Entire country
Antigua and Barbuda,ATG,2021,Entire country
Antigua and Barbuda,ATG,2022,Entire country
Antigua and Barbuda,ATG,2023,Entire country
Antigua and Barbuda,ATG,2024,Entire country
Argentina,ARG,1955,Not routinely administered
Argentina,ARG,1956,Not routinely administered
Argentina,ARG,1957,Not routinely administered
Argentina,ARG,1958,Not routinely administered
Argentina,ARG,1959,Not routinely administered
Argentina,ARG,1960,Not routinely administered
Argentina,ARG,1961,Not routinely administered
Argentina,ARG,1962,Not routinely administered
Argentina,ARG,1963,Not routinely administered
Argentina,ARG,1964,Not routinely administered
Argentina,ARG,1965,Not routinely administered
Argentina,ARG,1966,Not routinely administered
Argentina,ARG,1967,Not routinely administered
Argentina,ARG,1968,Not routinely administered
Argentina,ARG,1969,Not routinely administered
Argentina,ARG,1970,Not routinely administered
Argentina,ARG,1971,Not routinely administered
Argentina,ARG,1972,Not routinely administered
Argentina,ARG,1973,Not routinely administered
Argentina,ARG,1974,Not routinely administered
Argentina,ARG,1975,Not routinely administered
Argentina,ARG,1976,Not routinely administered
Argentina,ARG,1977,Not routinely administered
Argentina,ARG,1978,Not routinely administered
Argentina,ARG,1979,Not routinely administered
Argentina,ARG,1980,Not routinely administered
Argentina,ARG,1981,Not routinely administered
Argentina,ARG,1982,Not routinely administered
Argentina,ARG,1983,Not routinely administered
Argentina,ARG,1984,Not routinely administered
Argentina,ARG,1985,Not routinely administered
Argentina,ARG,1986,Not routinely administered
Argentina,ARG,1987,Not routinely administered
Argentina,ARG,1988,Not routinely administered
Argentina,ARG,1989,Not routinely administered
Argentina,ARG,1990,Not routinely administered
Argentina,ARG,1991,Not routinely administered
Argentina,ARG,1992,Not routinely administered
Argentina,ARG,1993,Not routinely administered
Argentina,ARG,1994,Not routinely administered
Argentina,ARG,1995,Not routinely administered
Argentina,ARG,1996,Not routinely administered
Argentina,ARG,1997,Not routinely administered
Argentina,ARG,1998,Not routinely administered
Argentina,ARG,1999,Not routinely administered
Argentina,ARG,2000,Not routinely administered
Argentina,ARG,2001,Not routinely administered
Argentina,ARG,2002,Not routinely administered
Argentina,ARG,2003,Not routinely administered
Argentina,ARG,2004,Not routinely administered
Argentina,ARG,2005,Not routinely administered
Argentina,ARG,2006,Not routinely administered
Argentina,ARG,2007,Not routinely administered
Argentina,ARG,2008,Not routinely administered
Argentina,ARG,2009,Not routinely administered
Argentina,ARG,2010,Not routinely administered
Argentina,ARG,2011,Not routinely administered
Argentina,ARG,2012,Not routinely administered
Argentina,ARG,2013,Not routinely administered
Argentina,ARG,2014,Not routinely administered
Argentina,ARG,2015,Not routinely administered
Argentina,ARG,2016,Entire country
Argentina,ARG,2017,Entire country
Argentina,ARG,2018,Entire country
Argentina,ARG,2019,Entire country
Argentina,ARG,2020,Entire country
Argentina,ARG,2021,Entire country
Argentina,ARG,2022,Entire country
Argentina,ARG,2023,Entire country
Argentina,ARG,2024,Entire country
Armenia,ARM,1991,Not routinely administered
Armenia,ARM,1992,Not routinely administered
Armenia,ARM,1993,Not routinely administered
Armenia,ARM,1994,Not routinely administered
Armenia,ARM,1995,Not routinely administered
Armenia,ARM,1996,Not routinely administered
Armenia,ARM,1997,Not routinely administered
Armenia,ARM,1998,Not routinely administered
Armenia,ARM,1999,Not routinely administered
Armenia,ARM,2000,Not routinely administered
Armenia,ARM,2001,Not routinely administered
Armenia,ARM,2002,Not routinely administered
Armenia,ARM,2003,Not routinely administered
Armenia,ARM,2004,Not routinely administered
Armenia,ARM,2005,Not routinely administered
Armenia,ARM,2006,Not routinely administered
Armenia,ARM,2007,Not routinely administered
Armenia,ARM,2008,Not routinely administered
Armenia,ARM,2009,Not routinely administered
Armenia,ARM,2010,Not routinely administered
Armenia,ARM,2011,Not routinely administered
Armenia,ARM,2012,Not routinely administered
Armenia,ARM,2013,Not routinely administered
Armenia,ARM,2014,Not routinely administered
Armenia,ARM,2015,Not routinely administered
Armenia,ARM,2016,Entire country
Armenia,ARM,2017,Entire country
Armenia,ARM,2018,Entire country
Armenia,ARM,2019,Entire country
Armenia,ARM,2020,Entire country
Armenia,ARM,2021,Entire country
Armenia,ARM,2022,Entire country
Armenia,ARM,2023,Entire country
Armenia,ARM,2024,Entire country
Australia,AUS,1955,Not routinely administered
Australia,AUS,1956,Not routinely administered
Australia,AUS,1957,Not routinely administered
Australia,AUS,1958,Not routinely administered
Australia,AUS,1959,Not routinely administered
Australia,AUS,1960,Not routinely administered
Australia,AUS,1961,Not routinely administered
Australia,AUS,1962,Not routinely administered
Australia,AUS,1963,Not routinely administered
Australia,AUS,1964,Not routinely administered
Australia,AUS,1965,Not routinely administered
Australia,AUS,1966,Not routinely administered
Australia,AUS,1967,Not routinely administered
Australia,AUS,1968,Not routinely administered
Australia,AUS,1969,Not routinely administered
Australia,AUS,1970,Not routinely administered
Australia,AUS,1971,Not routinely administered
Australia,AUS,1972,Not routinely administered
Australia,AUS,1973,Not routinely administered
Australia,AUS,1974,Not routinely administered
Australia,AUS,1975,Not routinely administered
Australia,AUS,1976,Not routinely administered
Australia,AUS,1977,Not routinely administered
Australia,AUS,1978,Not routinely administered
Australia,AUS,1979,Not routinely administered
Australia,AUS,1980,Not routinely administered
Australia,AUS,1981,Not routinely administered
Australia,AUS,1982,Not routinely administered
Australia,AUS,1983,Not routinely administered
Australia,AUS,1984,Not routinely administered
Australia,AUS,1985,Not routinely administered
Australia,AUS,1986,Not routinely administered
Australia,AUS,1987,Not routinely administered
Australia,AUS,1988,Not routinely administered
Australia,AUS,1989,Not routinely administered
Australia,AUS,1990,Not routinely administered
Australia,AUS,1991,Not routinely administered
Australia,AUS,1992,Not routinely administered
Australia,AUS,1993,Not routinely administered
Australia,AUS,1994,Not routinely administered
Australia,AUS,1995,Not routinely administered
Australia,AUS,1996,Not routinely administered
Australia,AUS,1997,Not routinely administered
Australia,AUS,1998,Not routinely administered
Australia,AUS,1999,Not routinely administered
Australia,AUS,2000,Not routinely administered
Australia,AUS,2001,Not routinely administered
Australia,AUS,2002,Not routinely administered
Australia,AUS,2003,Not routinely administered
Australia,AUS,2004,Not routinely administered
Australia,AUS,2005,Entire country
Australia,AUS,2006,Entire country
Australia,AUS,2007,Entire country
Australia,AUS,2008,Entire country
Australia,AUS,2009,Entire country
Australia,AUS,2010,Entire country
Australia,AUS,2011,Entire country
Australia,AUS,2012,Entire country
Australia,AUS,2013,Entire country
Australia,AUS,2014,Entire country
Australia,AUS,2015,Entire country
Australia,AUS,2016,Entire country
Australia,AUS,2017,Entire country
Australia,AUS,2018,Entire country
Australia,AUS,2019,Entire country
Australia,AUS,2020,Entire country
Australia,AUS,2021,Entire country
Australia,AUS,2022,Entire country
Australia,AUS,2023,Entire country
Australia,AUS,2024,Entire country
Austria,AUT,1955,Not routinely administered
Austria,AUT,1956,Not routinely administered
Austria,AUT,1957,Not routinely administered
Austria,AUT,1958,Not routinely administered
Austria,AUT,1959,Not routinely administered
Austria,AUT,1960,Not routinely administered
Austria,AUT,1961,Not routinely administered
Austria,AUT,1962,Not routinely administered
Austria,AUT,1963,Not routinely administered
Austria,AUT,1964,Not routinely administered
Austria,AUT,1965,Not routinely administered
Austria,AUT,1966,Not routinely administered
Austria,AUT,1967,Not routinely administered
Austria,AUT,1968,Not routinely administered
Austria,AUT,1969,Not routinely administered
Austria,AUT,1970,Not routinely administered
Austria,AUT,1971,Not routinely administered
Austria,AUT,1972,Not routinely administered
Austria,AUT,1973,Not routinely administered
Austria,AUT,1974,Not routinely administered
Austria,AUT,1975,Not routinely administered
Austria,AUT,1976,Not routinely administered
Austria,AUT,1977,Not routinely administered
Austria,AUT,1978,Not routinely administered
Austria,AUT,1979,Not routinely administered
Austria,AUT,1980,Not routinely administered
Austria,AUT,1981,Not routinely administered
Austria,AUT,1982,Not routinely administered
Austria,AUT,1983,Not routinely administered
Austria,AUT,1984,Not routinely administered
Austria,AUT,1985,Not routinely administered
Austria,AUT,1986,Not routinely administered
Austria,AUT,1987,Not routinely administered
Austria,AUT,1988,Not routinely administered
Austria,AUT,1989,Not routinely administered
Austria,AUT,1990,Not routinely administered
Austria,AUT,1991,Not routinely administered
Austria,AUT,1992,Not routinely administered
Austria,AUT,1993,Not routinely administered
Austria,AUT,1994,Not routinely administered
Austria,AUT,1995,Not routinely administered
Austria,AUT,1996,Not routinely administered
Austria,AUT,1997,Not routinely administered
Austria,AUT,1998,Not routinely administered
Austria,AUT,1999,Not routinely administered
Austria,AUT,2000,Not routinely administered
Austria,AUT,2001,Not routinely administered
Austria,AUT,2002,Entire country
Austria,AUT,2003,Entire country
Austria,AUT,2004,Entire country
Austria,AUT,2005,Entire country
Austria,AUT,2006,Entire country
Austria,AUT,2007,Entire country
Austria,AUT,2008,Entire country
Austria,AUT,2009,Entire country
Austria,AUT,2010,Entire country
Austria,AUT,2011,Entire country
Austria,AUT,2012,Entire country
Austria,AUT,2013,Entire country
Austria,AUT,2014,Entire country
Austria,AUT,2015,Entire country
Austria,AUT,2016,Entire country
Austria,AUT,2017,Entire country
Austria,AUT,2018,Entire country
Austria,AUT,2019,Entire country
Austria,AUT,2020,Entire country
Austria,AUT,2021,Entire country
Austria,AUT,2022,Entire country
Austria,AUT,2023,Entire country
Austria,AUT,2024,Entire country
Azerbaijan,AZE,1991,Not routinely administered
Azerbaijan,AZE,1992,Not routinely administered
Azerbaijan,AZE,1993,Not routinely administered
Azerbaijan,AZE,1994,Not routinely administered
Azerbaijan,AZE,1995,Not routinely administered
Azerbaijan,AZE,1996,Not routinely administered
Azerbaijan,AZE,1997,Not routinely administered
Azerbaijan,AZE,1998,Not routinely administered
Azerbaijan,AZE,1999,Not routinely administered
Azerbaijan,AZE,2000,Not routinely administered
Azerbaijan,AZE,2001,Not routinely administered
Azerbaijan,AZE,2002,Not routinely administered
Azerbaijan,AZE,2003,Not routinely administered
Azerbaijan,AZE,2004,Not routinely administered
Azerbaijan,AZE,2005,Not routinely administered
Azerbaijan,AZE,2006,Not routinely administered
Azerbaijan,AZE,2007,Not routinely administered
Azerbaijan,AZE,2008,Not routinely administered
Azerbaijan,AZE,2009,Not routinely administered
Azerbaijan,AZE,2010,Not routinely administered
Azerbaijan,AZE,2011,Not routinely administered
Azerbaijan,AZE,2012,Not routinely administered
Azerbaijan,AZE,2013,Not routinely administered
Azerbaijan,AZE,2014,Not routinely administered
Azerbaijan,AZE,2015,Not routinely administered
Azerbaijan,AZE,2016,Entire country
Azerbaijan,AZE,2017,Entire country
Azerbaijan,AZE,2018,Entire country
Azerbaijan,AZE,2019,Entire country
Azerbaijan,AZE,2020,Entire country
Azerbaijan,AZE,2021,Entire country
Azerbaijan,AZE,2022,Entire country
Azerbaijan,AZE,2023,Entire country
Azerbaijan,AZE,2024,Entire country
Bahamas,BHS,1955,Not routinely administered
Bahamas,BHS,1956,Not routinely administered
Bahamas,BHS,1957,Not routinely administered
Bahamas,BHS,1958,Not routinely administered
Bahamas,BHS,1959,Not routinely administered
Bahamas,BHS,1960,Not routinely administered
Bahamas,BHS,1961,Not routinely administered
Bahamas,BHS,1962,Not routinely administered
Bahamas,BHS,1963,Not routinely administered
Bahamas,BHS,1964,Not routinely administered
Bahamas,BHS,1965,Not routinely administered
Bahamas,BHS,1966,Not routinely administered
Bahamas,BHS,1967,Not routinely administered
Bahamas,BHS,1968,Not routinely administered
Bahamas,BHS,1969,Not routinely administered
Bahamas,BHS,1970,Not routinely administered
Bahamas,BHS,1971,Not routinely administered
Bahamas,BHS,1972,Not routinely administered
Bahamas,BHS,1973,Not routinely administered
Bahamas,BHS,1974,Not routinely administered
Bahamas,BHS,1975,Not routinely administered
Bahamas,BHS,1976,Not routinely administered
Bahamas,BHS,1977,Not routinely administered
Bahamas,BHS,1978,Not routinely administered
Bahamas,BHS,1979,Not routinely administered
Bahamas,BHS,1980,Not routinely administered
Bahamas,BHS,1981,Not routinely administered
Bahamas,BHS,1982,Not routinely administered
Bahamas,BHS,1983,Not routinely administered
Bahamas,BHS,1984,Not routinely administered
Bahamas,BHS,1985,Not routinely administered
Bahamas,BHS,1986,Not routinely administered
Bahamas,BHS,1987,Not routinely administered
Bahamas,BHS,1988,Not routinely administered
Bahamas,BHS,1989,Not routinely administered
Bahamas,BHS,1990,Not routinely administered
Bahamas,BHS,1991,Not routinely administered
Bahamas,BHS,1992,Not routinely administered
Bahamas,BHS,1993,Not routinely administered
Bahamas,BHS,1994,Not routinely administered
Bahamas,BHS,1995,Not routinely administered
